"hearing_id","year","decade","date_begin","date_end","witness_name","witness_affiliation","discipline1","discipline2","discipline3","sociologist","economist","anthropologist","psychologist","polscientist","agency","census","nsfsbe","thinktank","thinktank1","thinktank2","full_committee1","sub_committee1","full_committee2","sub_committee2","title_description","filter","HID","univ_aff"
"HRG-1979-POH-0062",1979,"1970s","Mar. 7, 1979","Mar. 7, 1979","harold goldstein","staff member, panel on decennial census plans, committee on natl statistics, natl research council","Psychologist","","",0,0,0,1,0,"",1,0,0,"","","committee on post office and civil service. house","","","","oversight hearings on the 1980 census-part i",1,51938,0
"HRG-1988-FNS-0023",1988,"1980s","Sep. 22, 1988","Sep. 22, 1988","martin o'connell","chief, fertility statistics branch, bureau of census","Psychologist","","",0,0,0,1,0,"",1,0,0,"","","committee on finance. senate","","","","federal role in child care",1,68707,0
"HRG-1993-POH-0018",1993,"1990s","Oct. 7, 1993","Oct. 7, 1993","norman bradburn","chair, panel to evaluate alternative census methods, committee on national statistics, national research council","Psychologist","","",0,0,0,1,0,"",1,0,0,"","","committee on post office and civil service. house","subcommittee on census, statistics, and postal personnel","","","review the status of planning for the 2000 census",1,76908,0
"HRG-1993-POH-0001",1993,"1990s","Mar. 2, 1993","Mar. 2, 1993","norman bradburn","chair, panel to evaluate alternative census methods, committee on national statistics, national research council","Psychologist","","",0,0,0,1,0,"",1,0,0,"","","committee on post office and civil service. house","subcommittee on census, statistics, and postal personnel","","","review of major census bureau programs in 1993",1,77845,0
"HRG-2013-HAP-0045",2013,"2010s","Mar. 13, 2013","Mar. 19, 2013","brad bushman","communication and psychology, ohio state university; former co-chair, subcommittee on youth violence, advisory committee for social, behavioral and economic sciences , nsf","Psychologist","","",0,0,0,1,0,"",0,1,0,"","","committee on appropriations. house","subcommittee on commerce, justice, science, and related agencies appropriations","","","commerce, justice, science, and related agencies appropriations for 2014, part 7",1,109904,1
"HRG-1946-NAH-0028",1946,"1940s","Mar. 28, 1946","May 9, 1946","leonard carmichael","pres, tufts coll ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on naval affairs. house","","","","hearings on h.r. 5426, to provide for the training of officers for the naval service, and for other purposes",1,20139,1
"HRG-1946-EDS-0006",1946,"1940s","Mar. 6, 1946","Mar. 8, 1946","thomas moore","rev. , prof of psychology, catholic univ; dir, psychiatric clinic ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. senate","subcommittee on health and education","","","national neuropsychiatric institute act",1,20520,1
"HRG-1947-VAH-0008",1947,"1940s","Mar. 21, 1947","Apr. 16, 1947","john hunter","student, univ of wis ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on veterans' affairs. house","subcommittee on education, training, and rehabilitation","","","increasing subsistence allowances for education or training under the servicemen's readjustment act. part 2",1,20775,1
"HRG-1947-EDL-0009",1947,"1940s","May 5, 1947","May 6, 1947","ralph hood","supt of schools, brunswick, ga ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","","","","emergency educational aid for government reservations. volume 1",1,20893,1
"HRG-1947-FCH-0022",1947,"1940s","Mar. 6, 1947","Mar. 7, 1947","robert yerkes","emeritus prof of psychobiology, yale univ; chm, committee on the fed govt and research, social science research council ","Psychologist","","",0,0,0,1,0,"",0,0,1,"social science research council","","committee on interstate and foreign commerce. house","","","","national science foundation",1,21223,1
"HRG-1948-VAH-0007",1948,"1940s","Feb. 20, 1948","Feb. 20, 1948","coleman griffith","provost, univ of ill ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on veterans' affairs. house","subcommittee on education, training, and rehabilitation","","","flight training. part 1",1,21822,1
"HRG-1949-EDL-0003",1949,"1940s","Mar. 7, 1949","Mar. 21, 1949","arthur kornhauser","prof, psychology, inst of industrial relations, wayne univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on education and labor. house","special subcommittee on labor-management relations act","","","national labor relations act of 1949",1,22154,1
"HRG-1949-BCS-0003",1949,"1940s","Feb. 3, 1949","Feb. 21, 1949","j. miller","pres, univ of fla ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on banking and currency. senate","subcommittee on housing and rents","","","general housing legislation",1,22308,1
"HRG-1949-LPW-0036",1949,"1940s","Jun. 6, 1949","Jun. 29, 1949","leonard carmichael","pres, tufts coll, medford, mass ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on labor and public welfare. senate","subcommittee on health legislation","","","national health program, 1949. part 2",1,22389,1
"HRG-1949-LPW-0014",1949,"1940s","May 11, 1949","May 12, 1949","alfred marrow","dir of research, harwood mfg corp ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on labor and public welfare. senate","subcommittee on health legislation","","","national child research act",1,22402,0
"HRG-1950-LPW-0012",1950,"1950s","May 16, 1950","May 18, 1950","wendell johnson","pres, amer speech and hearing assn ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on labor and public welfare. senate","subcommittee on education of physically handicapped children","","","physically handicapped children's education act of 1950",1,22771,0
"HRG-1950-LAS-0001",1950,"1950s","Mar. 27, 1950","Mar. 30, 1950","hadley cantril","dir, office of public opinion research, psychology dept, princeton univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on lobbying activities, select. house","","","","role of lobbying in representative self-government. part 1",1,22861,1
"HRG-1950-SAP-0010",1950,"1950s","Mar. 21, 1950","Jun. 28, 1950","carmi harari","clinical-psychologist trainee, ny br office, va ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on appropriations. senate","","","","independent offices appropriations, 1951",1,22898,0
"HRG-1952-SJS-0009",1952,"1950s","Sep. 8, 1952","Oct. 13, 1952","bernard riess","psychology prof, hunter coll; member, teachers union; member, communist front organizations ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee on the judiciary. senate","subcommittee to investigate the administration of the internal security act and other internal security laws","","","subversive influence in the educational process",1,23705,1
"HRG-1952-ITF-0001",1952,"1950s","Nov. 18, 1952","Dec. 30, 1952","alvin eurich","vp, fund for advancement of educ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee to investigate tax-exempt foundations and comparable organizations, select. house","","","","tax-exempt foundations",1,23915,0
"HRG-1954-ITF-0001",1954,"1950s","May 10, 1954","Jul. 9, 1954","david rowe","dir, studies on human resources, yale univ ","Psychologist","","",0,0,0,1,0,"",0,0,0,"","","committee to investigate tax-exempt foundations and comparable organizations, select. house","","","","tax-exempt foundations. part 1",1,25304,1
