"year","count"
1946,2
1947,3
1948,1
1949,4
1950,3
1952,2
1954,1
1955,4
1956,3
1957,2
1958,4
1959,5
1960,13
1961,4
1962,6
1963,6
1964,6
1965,16
1966,18
1967,29
1968,11
1969,34
1970,7
1971,12
1972,10
1973,13
1974,10
1975,21
1976,19
1977,18
1978,21
1979,29
1980,28
1981,29
1982,22
1983,31
1984,31
1985,29
1986,16
1987,28
1988,25
1989,36
1990,24
1991,25
1992,28
1993,20
1994,13
1995,25
1996,9
1997,19
1998,23
1999,30
2000,19
2001,19
2002,10
2003,15
2004,6
2005,10
2006,6
2007,16
2008,9
2009,8
2010,9
2011,6
2012,4
2013,4
2014,8
2015,1
2016,3
